Type,#Files,Total Filtered Files,%% Grew,%% Decreased,%% Zero,Grew Average,Grew Median,Decreased Average,Decreased Median,Zero Total,Total Large Files,%% Large Grew,%% Large Decreased,%% Large Zero,Large Grew Average,Large Grew Median,Large Decreased Average,Large Decreased Median,Large Zero Total,Total Small Files,%% Small Grew,%% Small Decreased,%% Small Zero,Small Grew Average,Small Grew Median,Small Decreased Average,Small Decreased Median,Small Zero Total
large,7125,2853,19.612756264236904,8.986332574031891,19.612756264236904,31.475609756097562,6.0,-31.565272496831433,-4.0,1722,2825,48.046875,22.014508928571427,48.046875,31.475609756097562,6.0,-31.565272496831433,-4.0,1722,997,0,0,0,31.475609756097562,6.0,-31.565272496831433,-4.0,1722
small,7683,3104,22.776845637583893,10.671140939597315,22.709731543624162,24.587476979742174,6.0,-25.5,-3.0,2707,3074,71.56035846072747,33.52662098049552,71.34949920927781,24.587476979742174,6.0,-25.5,-3.0,2707,1207,0,0,0,24.587476979742174,6.0,-25.5,-3.0,2707
