Type,Added Files TOTAL,Added Large Files TOTAL,Added Large Files Percentage,Modified Files TOTAL,Modified Large Files TOTAL,Modified Large Files Percentage,Flex Large Files TOTAL,Flex Large Files Percentage,No Longer Large Files TOTAL,No Longer Large Files Percentage,Added and Modified Files TOTAL,Become Large Files TOTAL,Become Large Files Percentage
large,4120,34,0.825242718446602,18426,20,0.10854227721697601,70,0.22068095838587645,7,0.022068095838587643,1355,0,0.0
small,8924,30,0.33617212012550424,24084,19,0.07889054974256768,64,0.14825110030113503,6,0.01389854065323141,3588,0,0.0
