Type,Project Max,File Max,Hash Max,Added Max,Project Min,File Min,Hash Min,Deleted Min
large,Python/langchain-ai~langchain,libs/core/tests/unit_tests/prompts/test_chat.py,2274d2b9660a0f313ac43cf375e27aee091a2e15,609,Python/langchain-ai~langchain,libs/langchain/langchain/vectorstores/qdrant.py,ed58eeb9c50b16c9927b6c395518cf610c963f5d,-2130
small,Python/langchain-ai~langchain,langchain/vectorstores/qdrant.py,1ff5b6702524f732129551bf527ec40108ad2188,700,Python/langchain-ai~langchain,libs/langchain/langchain/vectorstores/qdrant.py,ed58eeb9c50b16c9927b6c395518cf610c963f5d,-2130
