Type,Commits Amount,70% Threshould Large,70% Threshould Small,70% Threshould Flex,Large Files,Large Mean,Large Median,Large Min,Large Max,Commits Large Mean,Commits Large Median,Authors Large Mean,Authors Large Median,Small Files,Small Mean,Small Median,Small Min,Small Max,Commits Small Mean,Commits Small Median,Authors Small Mean,Authors Small Median
large,5739,1,1,1,4,1.0,1.0,1,1,1866.25,1178.0,74.5,58.0,173,1.023121387283237,1.0,1,2,28.15606936416185,4.0,2.46242774566474,1.0
small,1518,1,1,1,5,1.0,1.0,1,1,179.2,161.0,8.4,9.0,217,1.1751152073732718,1.0,1,4,19.308755760368662,8.0,3.3087557603686637,2.0
