Type,Bug-Fix,Resource,Feature,Test,Refactor,Deprecate,Auto,Commit Operation,Build Configuration,Other,Bug-Fix Count,Resource Count,Feature Count,Test Count,Refactor Count,Deprecate Count,Auto Count,Commit Operation Count,Build Configuration Count,Other Count,Bug-Fix Large,Resource Large,Feature Large,Test Large,Refactor Large,Deprecate Large,Auto Large,Commit Operation Large,Build Configuration Large,Other Large,Bug-Fix Large Count,Resource Large Count,Feature Large Count,Test Large Count,Refactor Large Count,Deprecate Large Count,Auto Large Count,Commit Operation Large Count,Build Configuration Large Count,Other Large Count,Bug-Fix Small,Resource Small,Feature Small,Test Small,Refactor Small,Deprecate Small,Auto Small,Commit Operation Small,Build Configuration Small,Other Small,Bug-Fix Small Count,Resource Small Count,Feature Small Count,Test Small Count,Refactor Small Count,Deprecate Small Count,Auto Small Count,Commit Operation Small Count,Build Configuration Small Count,Other Small Count,Bug-Fix Togheter,Resource Togheter,Feature Togheter,Test Togheter,Refactor Togheter,Deprecate Togheter,Auto Togheter,Commit Operation Togheter,Build Configuration Togheter,Other Togheter,Bug-Fix Togheter Count,Resource Togheter Count,Feature Togheter Count,Test Togheter Count,Refactor Togheter Count,Deprecate Togheter Count,Auto Togheter Count,Commit Operation Togheter Count,Build Configuration Togheter Count,Other Togheter Count,Pearson Resid - Bug-Fix,Pearson Resid - Resource,Pearson Resid - Feature,Pearson Resid - Test,Pearson Resid - Refactor,Pearson Resid - Deprecate,Pearson Resid - Auto,Pearson Resid - Commit Operation,Pearson Resid - Build Configuration,Pearson Resid - Other,Standardized Resid - Bug-Fix,Standardized Resid - Resource,Standardized Resid - Feature,Standardized Resid - Test,Standardized Resid - Refactor,Standardized Resid - Deprecate,Standardized Resid - Auto,Standardized Resid - Commit Operation,Standardized Resid - Build Configuration,Standardized Resid - Other
large,10.0,80.36363636363636,3.0303030303030303,4.6060606060606055,0,0,0,0.8484848484848486,0.9090909090909091,0.24242424242424243,165,1326,50,76,0,0,0,14,15,4,10.365853658536585,82.92682926829268,1.7276422764227644,3.760162601626017,0,0,0,0.6097560975609756,0.6097560975609756,0,102,816,17,37,0,0,0,6,6,0,9.45945945945946,84.68468468468468,1.2012012012012012,1.8018018018018018,0,0,0,1.2012012012012012,1.3513513513513513,0.3003003003003003,63,564,8,12,0,0,0,8,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36380905871737923,-0.2408452547953386,0.5418795650125752,1.4394217875558581,-0.12472079885569097,-0.12472079885569097,-0.12472079885569097,-0.8127609244167803,-0.9845858452729658,-0.8114646684631115,0.6035005265906914,-0.932047386546668,0.8593843810284274,2.2998355112750564,-0.19635714733288911,-0.19635714733288911,-0.19635714733288911,-1.2846525087288554,-1.556714351711391,-1.2781288644753677
small,11.774744027303754,75.12798634812286,3.4982935153583616,4.991467576791809,0,0,0,1.0665529010238908,3.540955631399317,0.0,276,1761,82,117,0,0,0,25,83,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
