Type,#Files,Total Filtered Files,Only Added,Total Deleted,Amount Average,Amount Median,Lifetime Average,Lifetime Median,Freq Average,Freq Median,Deleted Amount Avg,Deleted Amount Med,Deleted Lifetime Avg,Deleted Lifetime Med,Deleted Freq Avg,Deleted Freq Med,Pearson Correlation (Geral),Spearman Correlation (Geral),Pearson Correlation (Large),Spearman Correlation (Large),Pearson Correlation (Small),Spearman Correlation (Small)
large,25801,7013,1986,28,8.310324249055103,5.0,35041662.64650885,13184423.0,4825434.537571226,2636884.6,7.071428571428571,2.0,27068882.57142857,1761770.0,2908117.3936550403,880885.0,0.37363562299116987,0.7015303179872583,0.2154793882994641,0.4020832342790936,0.3820408725458286,0.7327591888787747
small,27811,8592,2341,22,7.7910734282514795,4.0,34501847.5568709,7472378.0,4682944.461637031,1623700.5909090908,8.818181818181818,3.0,44007442.13636363,2079528.5,2069329.027534108,830471.3333333333,0.5728001401388463,0.5517374660221537,0.18927227511486389,0.2727686275488212,0.5143699457589662,0.6934422612740964
