path,owner,project,language,code
./src/_00/output/Javascript/nodejs~node/deps/v8/test/mjsunit/wasm/embenchen/memops.js,nodejs,node,JavaScript,7160
./src/_00/output/Javascript/nodejs~node/deps/v8/test/mjsunit/asm/embenchen/memops.js,nodejs,node,JavaScript,7158
./src/_00/output/Javascript/nodejs~node/deps/v8/test/mjsunit/third_party/regexp-pcre/regexp-pcre.js,nodejs,node,JavaScript,6518
./src/_00/output/Javascript/nodejs~node/deps/v8/test/mjsunit/typedarray-resizablearraybuffer.js,nodejs,node,JavaScript,6299
./src/_00/output/Javascript/nodejs~node/tools/node_modules/eslint/node_modules/ajv/dist/ajv.bundle.js,nodejs,node,JavaScript,6147
./src/_00/output/Javascript/nodejs~node/test/fixtures/postject-copy/node_modules/postject/dist/api.js,nodejs,node,JavaScript,5176
./src/_00/output/Javascript/nodejs~node/deps/v8/test/mjsunit/wasm/embenchen/corrections.js,nodejs,node,JavaScript,5060
./src/_00/output/Javascript/nodejs~node/deps/v8/test/mjsunit/wasm/embenchen/primes.js,nodejs,node,JavaScript,5060
./src/_00/output/Javascript/nodejs~node/deps/v8/test/mjsunit/asm/embenchen/corrections.js,nodejs,node,JavaScript,5058
./src/_00/output/Javascript/nodejs~node/deps/v8/test/mjsunit/asm/embenchen/primes.js,nodejs,node,JavaScript,5058
./src/_00/output/Javascript/nodejs~node/deps/v8/test/mjsunit/wasm/embenchen/copy.js,nodejs,node,JavaScript,5053
./src/_00/output/Javascript/nodejs~node/deps/v8/test/mjsunit/asm/embenchen/copy.js,nodejs,node,JavaScript,5051
./src/_00/output/Javascript/nodejs~node/deps/v8/test/mjsunit/unicodelctest-no-optimization.js,nodejs,node,JavaScript,4828
./src/_00/output/Javascript/nodejs~node/deps/v8/test/mjsunit/unicodelctest.js,nodejs,node,JavaScript,4828
./src/_00/output/Javascript/nodejs~node/deps/npm/test/lib/commands/ls.js,nodejs,node,JavaScript,4785
./src/_00/output/Javascript/nodejs~node/tools/node_modules/eslint/node_modules/acorn/dist/acorn.js,nodejs,node,JavaScript,4436
./src/_00/output/Javascript/nodejs~node/tools/node_modules/eslint/node_modules/acorn/dist/acorn.mjs,nodejs,node,JavaScript,4409
./src/_00/output/Javascript/nodejs~node/tools/node_modules/eslint/node_modules/esquery/dist/esquery.js,nodejs,node,JavaScript,3715
./src/_00/output/Javascript/nodejs~node/tools/node_modules/eslint/node_modules/esquery/dist/esquery.esm.js,nodejs,node,JavaScript,3709
./src/_00/output/Javascript/nodejs~node/test/fixtures/mime-whatwg-generated.js,nodejs,node,JavaScript,3527
./src/_00/output/Javascript/nodejs~node/tools/node_modules/eslint/node_modules/electron-to-chromium/full-chromium-versions.js,nodejs,node,JavaScript,3280
./src/_00/output/Javascript/nodejs~node/test/fixtures/wpt/resources/testharness.js,nodejs,node,JavaScript,3142
./src/_00/output/Javascript/nodejs~node/tools/node_modules/eslint/node_modules/esquery/dist/esquery.lite.js,nodejs,node,JavaScript,3108
./src/_00/output/Javascript/nodejs~node/deps/v8/test/mjsunit/typedarray-growablesharedarraybuffer.js,nodejs,node,JavaScript,3001
./src/_00/output/Javascript/nodejs~node/test/fixtures/wpt/resources/webidl2/lib/webidl2.js,nodejs,node,JavaScript,2944
./src/_00/output/Javascript/nodejs~node/deps/v8/test/wasm-js/third_party/testharness.js,nodejs,node,JavaScript,2872
./src/_00/output/Javascript/nodejs~node/test/parallel/test-util-inspect.js,nodejs,node,JavaScript,2843
./src/_00/output/Javascript/nodejs~node/tools/node_modules/eslint/node_modules/js-yaml/dist/js-yaml.js,nodejs,node,JavaScript,2831
./src/_00/output/Javascript/nodejs~node/tools/node_modules/eslint/node_modules/js-yaml/dist/js-yaml.mjs,nodejs,node,JavaScript,2811
./src/_00/output/Javascript/nodejs~node/lib/internal/webstreams/readablestream.js,nodejs,node,JavaScript,2778
./src/_00/output/Javascript/nodejs~node/tools/node_modules/eslint/node_modules/@babel/types/lib/validators/generated/index.js,nodejs,node,JavaScript,2749
./src/_00/output/Javascript/nodejs~node/tools/node_modules/eslint/node_modules/@eslint-community/regexpp/index.js,nodejs,node,JavaScript,2733
./src/_00/output/Javascript/nodejs~node/tools/node_modules/eslint/node_modules/@eslint-community/regexpp/index.mjs,nodejs,node,JavaScript,2725
./src/_00/output/Javascript/nodejs~node/tools/node_modules/eslint/node_modules/argparse/argparse.js,nodejs,node,JavaScript,2628
./src/_00/output/Javascript/nodejs~node/lib/internal/http2/core.js,nodejs,node,JavaScript,2583
./src/_00/output/Javascript/nodejs~node/deps/v8/test/mjsunit/harmony/well-formed-json-stringify-checked.js,nodejs,node,JavaScript,2556
./src/_00/output/Javascript/nodejs~node/deps/v8/test/mjsunit/harmony/well-formed-json-stringify-unchecked.js,nodejs,node,JavaScript,2556
./src/_00/output/Javascript/nodejs~node/test/fixtures/wpt/resources/idlharness.js,nodejs,node,JavaScript,2505
./src/_00/output/Javascript/nodejs~node/tools/node_modules/eslint/node_modules/jsdoc-type-pratt-parser/dist/index.js,nodejs,node,JavaScript,2420
./src/_00/output/Javascript/nodejs~node/tools/node_modules/eslint/node_modules/electron-to-chromium/full-versions.js,nodejs,node,JavaScript,2384
