Type,Bug-Fix,Resource,Feature,Test,Refactor,Deprecate,Auto,Commit Operation,Build Configuration,Other,Bug-Fix Count,Resource Count,Feature Count,Test Count,Refactor Count,Deprecate Count,Auto Count,Commit Operation Count,Build Configuration Count,Other Count,Bug-Fix Large,Resource Large,Feature Large,Test Large,Refactor Large,Deprecate Large,Auto Large,Commit Operation Large,Build Configuration Large,Other Large,Bug-Fix Large Count,Resource Large Count,Feature Large Count,Test Large Count,Refactor Large Count,Deprecate Large Count,Auto Large Count,Commit Operation Large Count,Build Configuration Large Count,Other Large Count,Bug-Fix Small,Resource Small,Feature Small,Test Small,Refactor Small,Deprecate Small,Auto Small,Commit Operation Small,Build Configuration Small,Other Small,Bug-Fix Small Count,Resource Small Count,Feature Small Count,Test Small Count,Refactor Small Count,Deprecate Small Count,Auto Small Count,Commit Operation Small Count,Build Configuration Small Count,Other Small Count,Pearson Resid - Bug-Fix,Pearson Resid - Resource,Pearson Resid - Feature,Pearson Resid - Test,Pearson Resid - Refactor,Pearson Resid - Deprecate,Pearson Resid - Auto,Pearson Resid - Commit Operation,Pearson Resid - Build Configuration,Pearson Resid - Other,Standardized Resid - Bug-Fix,Standardized Resid - Resource,Standardized Resid - Feature,Standardized Resid - Test,Standardized Resid - Refactor,Standardized Resid - Deprecate,Standardized Resid - Auto,Standardized Resid - Commit Operation,Standardized Resid - Build Configuration,Standardized Resid - Other
large,0,0.4329004329004329,14.285714285714285,42.42424242424242,0,0,41.125541125541126,1.7316017316017316,0,0,0,1,33,98,0,0,95,4,0,0,0,1.7857142857142856,7.142857142857142,16.071428571428573,0,0,75.0,0.0,0,0,0,1,4,9,0,0,42,0,0,0,0,0.0,15.934065934065933,48.9010989010989,0,0,32.967032967032964,2.197802197802198,0,0,0,0,29,89,0,0,60,4,0,0,0.5250729318611562,1.058190467224801,-1.408774042759283,-3.0190918680752397,0.5250729318611562,0.5250729318611562,3.490754949742353,-0.563799550377687,0.5250729318611562,0.5250729318611562,0.604255282542386,1.2190231003077396,-1.7398190246140284,-4.482330365835025,0.604255282542386,0.604255282542386,5.255077829350372,-0.6535456501759952,0.604255282542386,0.604255282542386
small,0,1.3793103448275863,4.482758620689655,30.689655172413794,0,0,61.724137931034484,1.3793103448275863,0,0,0,4,13,89,0,0,179,4,0,0,0,1.0526315789473684,6.315789473684211,29.47368421052631,0,0,62.10526315789474,1.0526315789473684,0,0,0,1,6,28,0,0,59,1,0,0,0,1.5873015873015872,3.968253968253968,30.158730158730158,0,0,62.698412698412696,1.5873015873015872,0,0,0,4,10,76,0,0,158,4,0,0,0.42373663864213934,-0.3271000823440188,0.7449128169759902,-0.15032389869994567,0.42373663864213934,0.42373663864213934,-0.14272628294244152,-0.3271000823440188,0.42373663864213934,0.42373663864213934,0.4990467470563956,-0.38744912657373304,0.8966740023552087,-0.21062065573260216,0.4990467470563956,0.4990467470563956,-0.2710415307411183,-0.38744912657373304,0.4990467470563956,0.4990467470563956
