Type,#Commits Anal,Together Mean,Together Median,Together TOTAL,Together Percentage,Together with Large Mean,Together with Large Median,Together with Large TOTAL,Together with Large Percentage,Together with Small Mean,Together with Small Median,Together with Small TOTAL,Together with Small Percentage
large,1404,33.631046931407944,2.0,1385,98.64672364672364,0.2216606498194946,0.0,66,4.765342960288808,33.409386281588446,2.0,978,70.61371841155236
small,1347,162.53645833333334,17.0,192,14.253897550111358,1.421875,0.0,33,17.1875,161.11458333333334,17.0,192,100.0
