Type,#Files,#Files Filtered by Language,%% Grow,%% Decrease,%% Zero,%% Deleted,Total File Grow,Grow Average,Grow Median,Grow Max,Total Decreased,Decreased Average,Decreased Median,Decreased Max,Total Zero,Total Deleted,Total Large Grow,Grow Large Average,Grow Large Median,Grow Large Max,Total Large Decreased,Decreased Large Average,Decreased Large Median,Decreased Large Max,Total Large Zero,Total Large Deleted,Total Small Grow,Grow Small Average,Grow Small Median,Grow Small Max,Total Small Decreased,Decreased Small Average,Decreased Small Median,Decreased Small Max,Total Small Zero,Total Small Deleted
large,718,390,27.94871794871795,4.102564102564102,55.38461538461539,0.0,109,138.63302752293578,39.0,1530.0,16,-17.0,-6.0,-56,216,0,12,722.4166666666666,707.0,1530,0,0.0,0.0,0,329,0,74,77.44594594594595,37.5,477.0,11,-18.181818181818183,-10.0,-69,47,0
small,2364,1037,21.311475409836063,3.4715525554484086,66.15236258437801,0.09643201542912247,221,94.6606334841629,28.0,1521.0,36,-17.63888888888889,-8.0,-82,686,1,15,577.4,518.0,1521,1,-33.0,-33.0,-33,927,0,173,61.53757225433526,28.0,593.0,32,-19.25,-7.0,-99,94,1
