Type,#Files,Total Filtered Files,Only Added,Total Deleted,Amount Average,Amount Median,Lifetime Average,Lifetime Median,Freq Average,Freq Median,Deleted Amount Avg,Deleted Amount Med,Deleted Lifetime Avg,Deleted Lifetime Med,Deleted Freq Avg,Deleted Freq Med,Total Large Filtered Files,Only Added Large,Total Large Deleted,Large Amount Avg,Large Amount Med,Large Lifetime Avg,Large Lifetime Med,Large Freq Avg,Large Freq Med,Deleted Large Amount Avg,Deleted Large Amount Med,Deleted Large Lifetime Avg,Deleted Large Lifetime Med,Deleted Large Freq Avg,Deleted Large Freq Med,Total Small Filtered Files,Only Added Small,Total Small Deleted,Small Amount Avg,Small Amount Med,Small Lifetime Avg,Small Lifetime Med,Small Freq Avg,Small Freq Med,Deleted Small Amount Avg,Deleted Small Amount Med,Deleted Small Lifetime Avg,Deleted Small Lifetime Med,Deleted Small Freq Avg,Deleted Small Freq Med,Ratio Amount Avg (Small/Large),Ratio Amount Med (Small/Large),Ratio Lifetime Avg (Small/Large),Ratio Lifetime Med (Small/Large),Ratio Freq Avg (Small/Large),Ratio Freq Med (Small/Large),Ratio Del Amount Avg (Small/Large),Ratio Del Amount Med (Small/Large),Ratio Del Lifetime Avg (Small/Large),Ratio Del Lifetime Med (Small/Large),Ratio Del Freq Avg (Small/Large),Ratio Del Freq Med (Small/Large)
large,336,86,40,0,19.543478260869566,8.0,56514190.95652174,50694269.0,4558542.50615448,3908560.4163461537,0,0,0,0,0,0,86,81,0,57.0,44.0,80470505.6,39601318.0,1299975.8036914417,408090.28571428574,0,0,0,0,0,0,42,4,0,14.973684210526315,7.0,49341192.421052635,39387328.0,4619970.573020904,4910183.722222222,0,0,0,0,0,0,0.2626962142197599,0.1590909090909091,0.6131587226047284,0.9945963919685703,3.5538896646398555,12.032101459185345,0,0,0,0,0,0
small,677,197,87,0,24.009090909090908,6.5,65032627.64545455,52368043.5,5379156.417549313,3529341.741025641,0,0,0,0,0,0,194,187,0,95.71428571428571,87.0,126740853.0,106622565.0,1237392.691207375,783989.4485294118,0,0,0,0,0,0,105,15,0,20.622222222222224,7.0,62596903.677777775,41750321.0,5982301.203664861,4357665.25,0,0,0,0,0,0,0.2154560530679934,0.08045977011494253,0.4938968153999861,0.3915711556929811,4.834602019370005,5.55832129906085,0,0,0,0,0,0
