Type,Bug-Fix,Resource,Feature,Test,Refactor,Deprecate,Auto,Commit Operation,Build Configuration,Other,Bug-Fix Count,Resource Count,Feature Count,Test Count,Refactor Count,Deprecate Count,Auto Count,Commit Operation Count,Build Configuration Count,Other Count,Bug-Fix Large,Resource Large,Feature Large,Test Large,Refactor Large,Deprecate Large,Auto Large,Commit Operation Large,Build Configuration Large,Other Large,Bug-Fix Large Count,Resource Large Count,Feature Large Count,Test Large Count,Refactor Large Count,Deprecate Large Count,Auto Large Count,Commit Operation Large Count,Build Configuration Large Count,Other Large Count,Bug-Fix Small,Resource Small,Feature Small,Test Small,Refactor Small,Deprecate Small,Auto Small,Commit Operation Small,Build Configuration Small,Other Small,Bug-Fix Small Count,Resource Small Count,Feature Small Count,Test Small Count,Refactor Small Count,Deprecate Small Count,Auto Small Count,Commit Operation Small Count,Build Configuration Small Count,Other Small Count,Bug-Fix Togheter,Resource Togheter,Feature Togheter,Test Togheter,Refactor Togheter,Deprecate Togheter,Auto Togheter,Commit Operation Togheter,Build Configuration Togheter,Other Togheter,Bug-Fix Togheter Count,Resource Togheter Count,Feature Togheter Count,Test Togheter Count,Refactor Togheter Count,Deprecate Togheter Count,Auto Togheter Count,Commit Operation Togheter Count,Build Configuration Togheter Count,Other Togheter Count,Pearson Resid - Bug-Fix,Pearson Resid - Resource,Pearson Resid - Feature,Pearson Resid - Test,Pearson Resid - Refactor,Pearson Resid - Deprecate,Pearson Resid - Auto,Pearson Resid - Commit Operation,Pearson Resid - Build Configuration,Pearson Resid - Other,Standardized Resid - Bug-Fix,Standardized Resid - Resource,Standardized Resid - Feature,Standardized Resid - Test,Standardized Resid - Refactor,Standardized Resid - Deprecate,Standardized Resid - Auto,Standardized Resid - Commit Operation,Standardized Resid - Build Configuration,Standardized Resid - Other
large,52.46636771300448,11.659192825112108,14.798206278026907,1.345291479820628,0.4484304932735426,0.4484304932735426,9.417040358744394,6.278026905829597,2.690582959641256,0.4484304932735426,117,26,33,3,1,1,21,14,6,1,52.13270142180095,20.85308056872038,9.004739336492891,2.3696682464454977,0.47393364928909953,0,5.213270142180095,6.6350710900473935,2.843601895734597,0.47393364928909953,110,44,19,5,1,0,11,14,6,1,58.333333333333336,8.333333333333332,8.333333333333332,16.666666666666664,0.0,0.0,8.333333333333332,0.0,0.0,0.0,7,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04841758797847807,0.29080600696934344,0.06545692067774228,-0.6059399641182307,-0.34078293437524454,-0.4505332261554513,-0.06865992349637261,0.11681435180496545,-0.03363838898411602,-0.34078293437524454,0.2752417683699495,1.2828873530034897,0.27067391125335444,-2.430143824695477,-1.3498767074934546,-1.7826250457791488,-0.2785613551471285,0.4767222867194148,-0.1347542167412329,-1.3498767074934546
small,49.18032786885246,3.278688524590164,15.846994535519126,3.825136612021858,1.092896174863388,0.546448087431694,9.289617486338798,10.92896174863388,2.185792349726776,3.825136612021858,90,6,29,7,2,1,17,20,4,7,53.2258064516129,1.6129032258064515,16.129032258064516,4.838709677419355,1.6129032258064515,0,4.838709677419355,12.903225806451612,1.6129032258064515,3.225806451612903,33,1,10,3,1,0,3,8,1,2,47.107438016528924,4.132231404958678,15.702479338842975,3.3057851239669422,0.8264462809917356,0.8264462809917356,11.570247933884298,9.917355371900827,2.479338842975207,4.132231404958678,57,5,19,4,1,1,14,12,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42373453208167255,-0.7300205912017583,0.039014448858965906,0.39881490461521923,0.3862627474682796,-0.01524847187888782,-1.1595445989142863,0.4551802948474799,-0.31047998351502093,-0.24881814845462794,0.7310236645821845,-0.9140697039821527,0.05236060039286104,0.5007747341615922,0.47828624810607107,-0.018855324569313832,-1.4990762437148504,0.5938379628912243,-0.3865847906523591,-0.3124302544990465
