url,owner,Project,main language,stars
https://github.com/IntersectMBO/cardano-node,,,Haskell,3k
https://github.com/ghc/ghc,,,Haskell,3k
https://github.com/SimulaVR/Simula,,,Haskell,2.9k
https://github.com/simonmichael/hledger,,,Haskell,2.8k
https://github.com/yesodweb/yesod,,,Haskell,2.6k
https://github.com/ghcjs/ghcjs,,,Haskell,2.6k
https://github.com/typelead/eta,,,Haskell,2.6k
https://github.com/wireapp/wire-server,,,Haskell,2.6k
https://github.com/haskell/haskell-language-server,,,Haskell,2.6k
https://github.com/agda/agda,,,Haskell,2.4k
https://github.com/haskell/haskell-ide-engine,,,Haskell,2.4k
https://github.com/spring-projects/spring-boot,,,Java,73.1k
https://github.com/elastic/elasticsearch,,,Java,68.1k
https://github.com/spring-projects/spring-framework,,,Java,55.3k
https://github.com/google/guava,,,Java,49.5k
https://github.com/NationalSecurityAgency/ghidra,,,Java,48.1k
https://github.com/ReactiveX/RxJava,,,Java,47.7k
https://github.com/apache/dubbo,,,Java,40.1k
https://github.com/jeecgboot/jeecg-boot,,,Java,38k
https://github.com/dbeaver/dbeaver,,,Java,37.7k
https://github.com/PhilJay/MPAndroidChart,,,Java,37.3k
https://github.com/alibaba/arthas,,,Java,34.8k
https://github.com/airbnb/lottie-android,,,Java,34.7k
https://github.com/bumptech/glide,,,Java,34.4k
https://github.com/netty/netty,,,Java,32.9k
https://github.com/zxing/zxing,,,Java,32.3k
https://github.com/termux/termux-app,,,Java,31.5k
https://github.com/alibaba/easyexcel,,,Java,31.1k
https://github.com/SeleniumHQ/selenium,,,Java,29.4k
https://github.com/alibaba/nacos,,,Java,29.2k
https://github.com/TeamNewPipe/NewPipe,,,Java,28.9k
https://github.com/apolloconfig/apollo,,,Java,28.8k
https://github.com/alibaba/druid,,,Java,27.7k
https://github.com/apache/kafka,,,Java,27.5k
https://github.com/alibaba/spring-cloud-alibaba,,,Java,27.4k
https://github.com/lenve/vhr,,,Java,27k
https://github.com/Stirling-Tools/Stirling-PDF,,,Java,27k
https://github.com/xuxueli/xxl-job,,,Java,26.7k
https://github.com/qiurunze123/miaosha,,,Java,26.1k
https://github.com/alibaba/fastjson,,,Java,25.6k
https://github.com/signalapp/Signal-Android,,,Java,25k
https://github.com/facebook/react,,,Javascript,223k
https://github.com/twbs/bootstrap,,,Javascript,168k
https://github.com/Significant-Gravitas/AutoGPT,,,Javascript,162k
https://github.com/vercel/next.js,,,Javascript,121k
https://github.com/nodejs/node,,,Javascript,104k
