path|owner|project|file|language|code|comment|blank
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\tailwindcss\src\sort.test.ts|tailwindlabs|tailwindcss|sort.test.ts|TypeScript|91|19|19
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\scripts\version-packages.mjs|tailwindlabs|tailwindcss|version-packages.mjs|JavaScript|91|28|23
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\tailwindcss\src\utils\decode-arbitrary-value.test.ts|tailwindlabs|tailwindcss|decode-arbitrary-value.test.ts|TypeScript|88|10|18
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\@tailwindcss-cli\src\commands\help\index.ts|tailwindlabs|tailwindcss|index.ts|TypeScript|78|69|23
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\crates\node\src\lib.rs|tailwindlabs|tailwindcss|lib.rs|Rust|77|0|12
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\crates\oxide\src\fast_skip.rs|tailwindlabs|tailwindcss|fast_skip.rs|Rust|70|5|14
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\tailwindcss\package.json|tailwindlabs|tailwindcss|package.json|JSON|70|0|0
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\tailwindcss\src\design-system.ts|tailwindlabs|tailwindcss|design-system.ts|TypeScript|68|0|13
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\@tailwindcss-cli\src\utils\renderer.ts|tailwindlabs|tailwindcss|renderer.ts|TypeScript|66|11|19
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\.github\workflows\ci.yml|tailwindlabs|tailwindcss|ci.yml|YAML|64|2|16
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\tailwindcss\src\utils\segment.ts|tailwindlabs|tailwindcss|segment.ts|TypeScript|64|28|10
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\crates\node\package.json|tailwindlabs|tailwindcss|package.json|JSON|61|0|0
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\tailwindcss\src\intellisense.test.ts|tailwindlabs|tailwindcss|intellisense.test.ts|TypeScript|60|5|16
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\@tailwindcss-cli\src\utils\renderer.test.ts|tailwindlabs|tailwindcss|renderer.test.ts|TypeScript|54|3|6
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\package.json|tailwindlabs|tailwindcss|package.json|JSON|50|0|0
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\crates\oxide\src\fixtures\template-extensions.txt|tailwindlabs|tailwindcss|template-extensions.txt|Text|47|0|10
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\tailwindcss\src\utils\replace-shadow-colors.test.ts|tailwindlabs|tailwindcss|replace-shadow-colors.test.ts|TypeScript|47|0|2
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\tailwindcss\src\utils\escape.ts|tailwindlabs|tailwindcss|escape.ts|TypeScript|46|21|6
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\@tailwindcss-cli\package.json|tailwindlabs|tailwindcss|package.json|JSON|44|0|0
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\@tailwindcss-postcss\package.json|tailwindlabs|tailwindcss|package.json|JSON|44|0|0
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\turbo.json|tailwindlabs|tailwindcss|turbo.json|JSON|44|0|0
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\@tailwindcss-vite\package.json|tailwindlabs|tailwindcss|package.json|JSON|42|0|0
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\tailwindcss\src\utils\segment.test.ts|tailwindlabs|tailwindcss|segment.test.ts|TypeScript|41|0|12
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\crates\oxide\src\cache.rs|tailwindlabs|tailwindcss|cache.rs|Rust|40|6|11
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\scripts\lock-pre-release-versions.mjs|tailwindlabs|tailwindcss|lock-pre-release-versions.mjs|JavaScript|40|10|10
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\tailwindcss\src\utils\replace-shadow-colors.ts|tailwindlabs|tailwindcss|replace-shadow-colors.ts|TypeScript|32|7|7
