Type,Bug-Fix,Resource,Feature,Test,Refactor,Deprecate,Auto,Commit Operation,Build Configuration,Other,Bug-Fix Count,Resource Count,Feature Count,Test Count,Refactor Count,Deprecate Count,Auto Count,Commit Operation Count,Build Configuration Count,Other Count,Bug-Fix Large,Resource Large,Feature Large,Test Large,Refactor Large,Deprecate Large,Auto Large,Commit Operation Large,Build Configuration Large,Other Large,Bug-Fix Large Count,Resource Large Count,Feature Large Count,Test Large Count,Refactor Large Count,Deprecate Large Count,Auto Large Count,Commit Operation Large Count,Build Configuration Large Count,Other Large Count,Bug-Fix Small,Resource Small,Feature Small,Test Small,Refactor Small,Deprecate Small,Auto Small,Commit Operation Small,Build Configuration Small,Other Small,Bug-Fix Small Count,Resource Small Count,Feature Small Count,Test Small Count,Refactor Small Count,Deprecate Small Count,Auto Small Count,Commit Operation Small Count,Build Configuration Small Count,Other Small Count,Pearson Resid - Bug-Fix,Pearson Resid - Resource,Pearson Resid - Feature,Pearson Resid - Test,Pearson Resid - Refactor,Pearson Resid - Deprecate,Pearson Resid - Auto,Pearson Resid - Commit Operation,Pearson Resid - Build Configuration,Pearson Resid - Other,Standardized Resid - Bug-Fix,Standardized Resid - Resource,Standardized Resid - Feature,Standardized Resid - Test,Standardized Resid - Refactor,Standardized Resid - Deprecate,Standardized Resid - Auto,Standardized Resid - Commit Operation,Standardized Resid - Build Configuration,Standardized Resid - Other
large,0,0.0,31.818181818181817,50.0,0.0,0.0,0,0,0.0,18.181818181818183,0,0,7,11,0,0,0,0,0,4,0,0.0,33.33333333333333,44.44444444444444,0.0,0.0,0,0,0.0,22.22222222222222,0,0,6,8,0,0,0,0,0,4,0,0.0,28.57142857142857,57.14285714285714,0.0,0.0,0,0,0.0,14.285714285714285,0,0,2,4,0,0,0,0,0,1,-0.20968553420733144,-0.20968553420733144,0.269581933008596,-0.022011272658140596,-0.20968553420733144,-0.20968553420733144,-0.20968553420733144,-0.20968553420733144,-0.20968553420733144,0.3495220989786177,-0.3719143642820268,-0.3719143642820268,0.5434260972928149,-0.04860550777176595,-0.3719143642820268,-0.3719143642820268,-0.3719143642820268,-0.3719143642820268,-0.3719143642820268,0.6642752728808013
small,0,2.888086642599278,23.826714801444044,22.382671480144403,2.888086642599278,3.6101083032490973,0,0,5.054151624548736,38.98916967509025,0,8,66,62,8,10,0,0,14,108,0,3.5398230088495577,26.548672566371685,21.238938053097346,4.424778761061947,1.7699115044247788,0,0,6.1946902654867255,35.39823008849557,0,4,30,24,5,2,0,0,7,40,0,3.7209302325581395,22.790697674418606,23.72093023255814,2.3255813953488373,3.7209302325581395,0,0,4.186046511627907,39.53488372093023,0,8,49,51,5,8,0,0,9,85,0.26610456710742336,-0.06264750315520867,0.5426825736238392,-0.35351091066153567,0.8414965278325821,-0.7761375742145176,0.26610456710742336,0.26610456710742336,0.6381342531605201,-0.4563806232315805,0.3290329330848186,-0.07879074305403595,0.7682348504146992,-0.4964982494469064,1.0550239745039145,-0.9730803648337076,0.3290329330848186,0.3290329330848186,0.8076667837750209,-0.7148834715690363
